Sample ID,Sample type,Source,AMI,AMI symbol,AMP,AMP symbol,CIP symbol,Target
1,PC,A,4,S,>=32,R,1,R
2,PC,A,4,S,>=32,R,1,R
3,PC,B,4,S,32,R,1,R
4,PC,B,4,S,32,R,0.5,I
5,PC,C,4,S,32,R,1,R
6,PC,C,4,S,32,R,1,R
7,PC,C,4,S,32,R,0.25,I
8,PC,C,4,S,32,R,<=0.015,S
9,PC,C,4,S,32,R,<=0.015,S
10,PC,C,4,S,32,R,<=0.015,S
11,PC,D,4,S,32,R,0.25,I
12,PC,A,4,S,>=32,R,1,R
13,PC,A,4,S,>=32,R,1,R
14,PC,A,4,S,>=32,R,1,R
15,PC,A,4,S,>=32,R,1,R
16,PC,A,4,S,>=32,R,1,R
17,PC,A,4,S,>=32,R,2,R
18,PC,A,4,S,>=32,R,1,R
19,PC,A,4,S,>=32,R,1,R
20,PC,A,4,S,>=32,R,2,R
21,PC,A,4,S,>=32,R,1,R
22,PC,A,4,S,>=32,R,2,R
23,PC,B,4,S,32,R,0.5,I
24,PC,B,4,S,32,R,0.5,I
25,PC,B,4,S,32,R,0.5,I
26,PC,B,4,S,32,R,1,R
27,PC,A,4,S,>=32,R,1,R
28,PC,A,4,S,>=32,R,2,R
29,PC,B,4,S,32,R,0.5,I
30,PC,B,4,S,32,R,0.5,I
31,PC,E,4,S,32,R,1,R
32,PC,B,4,S,32,R,<=0.015,S
33,PC,C,4,S,32,R,0.5,I
34,PC,E,4,S,32,R,1,R
35,PC,A,4,S,>=32,R,2,R
36,PC,B,4,S,32,R,0.5,I
37,PC,B,4,S,32,R,0.5,I
38,PC,B,4,S,32,R,0.5,I
39,PC,F,4,S,32,R,1,R
40,PC,F,4,S,32,R,<=0.015,S
41,PC,F,4,S,32,R,<=0.015,S
42,PC,F,4,S,32,R,<=0.015,S
43,PC,F,4,S,32,R,<=0.015,S
44,PC,F,4,S,32,R,<=0.015,S
45,PC,E,4,S,32,R,0.5,I
46,PC,E,4,S,32,R,0.5,I
47,PC,C,4,S,32,R,1,R
48,PC,A,4,S,>=32,R,4,R
49,PC,A,4,S,>=32,R,2,R
50,PC,A,4,S,>=32,R,4,R
51,PC,A,4,S,>32,R,1=,R
52,PC,A,4,S,32,R,<=0.015,S
53,PC,A,4,S,4,S,8=,R
54,PC,E,4,S,32,R,<=0.015,S
55,PC,C,4,S,32,R,1,R
56,PC,B,4,S,32,R,1,R
57,PC,B,4,S,32,R,0.5,I
58,PC,B,4,S,32,R,0.5,I
59,PC,Uknown,4,S,32,R,>8,R
60,PC,Uknown,4,S,32,R,<=0.015,S
61,PC,Uknown,4,S,32,R,0.5,I
62,PC,Uknown,4,S,32,R,<=0.015,S
63,PC,Uknown,4,S,32,R,1,R
64,PC,Uknown,4,S,32,R,0.5,NOINTP
65,PC,A,4,S,>32,R,1=,R
66,PC,A,4,S,>32,R,2=,R
67,PC,A,4,S,>32,R,1=,R
68,PC,A,4,S,>32,R,1=,R
69,PC,H,4,S,32,R,1,R
70,PC,A,4,S,>32,R,1=,R
71,PC,A,4,S,>32,R,0.5=,I
72,PC,A,4,S,>32,R,1=,R
73,PC,A,4,S,>32,R,0.25=,I
74,PC,A,4,S,>32,R,1=,R
75,PC,B,4,S,32,R,1,R
76,PC,B,4,S,32,R,1,R
77,PC,B,4,S,32,R,1,R
78,PC,B,4,S,32,R,1,R
79,PC,B,4,S,32,R,1,R
80,PC,B,4,S,32,R,1,R
81,PC,A,4,S,>32,R,1=,R
82,PC,A,4,S,>32,R,1=,R
83,PC,A,4,S,>32,R,2=,R
84,PC,A,4,S,>32,R,2=,R
85,PC,A,4,S,>32,R,2=,R
86,PC,B,4,S,32,R,0.12,S
87,PC,B,4,S,32,R,1,R
88,PC,B,4,S,32,R,2,R
89,PC,B,4,S,32,R,0.5,
90,PC,B,4,S,32,R,0.5,I
91,PC,B,4,S,32,R,0.5,I
92,PC,B,4,S,32,R,0.5,I
93,PC,B,4,S,32,R,0.5,I
94,PC,B,4,S,32,R,0.5,I
95,PC,B,4,S,32,R,0.5,I
96,PC,B,4,S,32,R,0.5,I
97,PC,B,4,S,32,R,0.5,I
98,PC,B,4,S,32,R,0.5,I
99,PC,B,4,S,32,R,0.5,I
100,PC,B,4,S,32,R,0.5,I
101,PC,B,,,,,,
102,PC,B,4,S,32,R,0.5,I
103,PC,E,4,S,32,R,1,R
104,PC,E,4,S,32,R,1,R
105,PC,E,4,S,32,R,2,R
106,PC,B,4,S,32,R,0.5,I
107,PC,B,4,S,32,R,1,R
108,PC,B,4,S,32,R,0.5,I
109,PC,B,4,S,32,R,0.25,S
110,PC,B,4,S,32,R,0.5,I
111,PC,B,4,S,32,R,1,R
112,PC,B,4,S,32,R,0.5,I
113,PC,B,4,S,32,R,<=0.015,S
114,PC,B,4,S,32,R,1,R
115,PC,I,4,S,32,R,0.03,S
116,PC,J,4,S,32,R,0.5,I
117,PC,J,4,S,32,R,0.5,I
118,PC,J,4,S,32,R,0.5,I
119,PC,J,4,S,32,R,0.25,S
120,PC,J,4,S,32,R,0.5,I
121,PC,J,4,S,32,R,0.5,I
122,PC,J,4,S,32,R,0.5,I
123,PC,D,4,S,32,R,1,R
124,PC,D,4,S,32,R,0.5,I
125,PC,A,4,S,>32,R,0.06=,S
126,PC,A,4,S,>32,R,2=,R
127,PC,A,4,S,>32,R,2=,R
128,PC,A,4,S,>32,R,1=,R
129,PC,B,4,S,32,R,1,R
130,PC,B,4,S,32,R,1,R
131,PC,B,4,S,32,R,1,R
132,PC,B,4,S,32,R,0.5,I
133,PC,K,4,S,32,R,1,R
134,PC,K,4,S,32,R,1,R
135,PC,K,4,S,32,R,1,R
136,PC,K,4,S,32,R,1,R
137,PC,K,4,S,32,R,0.5,I
138,PC,K,4,S,32,R,0.5,I
139,PC,K,4,S,32,R,0.5,I
140,PC,K,4,S,32,R,0.5,I
141,PC,K,4,S,32,R,0.5,I
142,PC,K,4,S,32,R,0.5,I
143,PC,D,4,S,32,R,1,R
144,PC,B,4,S,32,R,1,R
145,PC,L,4,S,32,R,0.5,I
146,PC,L,4,S,32,R,0.5,I
147,PC,L,4,S,32,R,0.5,I
148,PC,L,4,S,32,R,0.5,I
149,FCS,M,4,S,32,R,0.5,I
150,PC,Unknown,4,S,32,R,0.5,I
151,PC,Unknown,4,S,32,R,0.5,I
152,FCS,M,4,S,32,R,1,R
153,PC,Unknown,4,S,32,R,0.5,I
154,FC,M,4,S,32,R,0.5,I
155,FCS,M,4,S,32,R,1,R
156,FCS,M,4,S,32,R,1,R
157,FCS,M,4,S,32,R,0.5,I
158,FCS,M,4,S,32,R,0.5,I
159,FCS,M,4,S,32,R,0.5,I
160,FCS,M,4,S,32,R,0.5,I
161,FCS,M,4,S,32,R,2,R
162,FCS,M,4,S,32,R,1,R
163,FCS,M,4,S,32,R,0.5,I
164,FCS,M,4,S,32,R,0.5,I
165,FCS,M,4,S,32,R,0.5,I
166,FCS,M,4,S,32,R,0.5,I
167,FCS,M,4,S,32,R,1,R
168,FCS,M,4,S,32,R,1,R
169,FCS,M,4,S,32,R,0.5,I
170,PC,N,4,S,32,R,1,R
171,PC,N,4,S,32,R,0.5,I
172,PC,N,4,S,32,R,0.5,I
173,PC,N,4,S,32,R,0.5,I
174,PC,M,4,S,32,R,1,R
175,PC,M,4,S,32,R,0.5,I
176,PC,M,4,S,32,R,0.5,I
177,PC,M,4,S,32,R,0.5,I
178,PC,M,4,S,32,R,0.5,I
179,PC,M,4,S,32,R,0.5,I
180,PC,M,4,S,32,R,0.5,I
181,PC,M,4,S,32,R,0.5,I
182,PC,M,4,S,32,R,1,R
183,PC,M,4,S,32,R,0.5,I
184,PC,M,4,S,32,R,1,R
185,PC,M,4,S,32,R,0.5,I
186,PC,M,4,S,32,R,1,R
187,PC,M,4,S,32,R,0.5,I
188,PC,M,4,S,32,R,0.5,I
189,PC,M,4,S,32,R,0.5,I
190,PC,M,4,S,32,R,0.5,I
191,PC,M,4,S,32,R,<=0.015,S
192,PC,M,4,S,32,R,0.5,I
193,PC,M,4,S,32,R,0.03,S
194,PC,M,4,S,32,R,0.5,I
195,PC,M,4,S,32,R,0.5,I
196,PC,M,4,S,32,R,0.5,I
197,PC,M,4,S,32,R,0.5,I
198,PC,M,4,S,32,R,1,R
199,PC,M,4,S,32,R,0.5,I
200,PC,M,4,S,32,R,<=0.015,S
201,PC,M,4,S,32,R,0.5,I
202,PC,M,4,S,32,R,0.03,S
203,PC,M,4,S,32,R,1,R
204,PC,M,4,S,32,R,0.5,I
205,PC,M,4,S,32,R,0.5,I
206,PC,M,4,S,32,R,0.5,I
207,PC,M,4,S,32,R,0.5,I
208,PC,M,4,S,32,R,2,R
209,PC,M,4,S,32,R,2,R
210,PC,O,4,S,32,R,2,R
211,PC,O,4,S,32,R,1,R
212,PC,O,4,S,32,R,2,R
213,PC,O,4,S,32,R,2,R
214,PC,O,4,S,32,R,2,R
